Staffed_Beds,Total_Discharges,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_ethnicity_non_hispanic,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_other,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_total
95.0,1944.0,88.12903225806451,3805.0,9971.0,12367.0,73.0,161.0,179.0,22.28214285714285,21.207692307692305,9.207407407407407,12146,60,39.4,88.0,36467.0,220.0,888,35887,103,11774,43,570,1391,137,22757,18085,18690,553,316,340,175,1567,1217,1083,1112,996,5572,13948,3137,4260,2408,7889,3722,5042,36775
515.0,15450.0,81.85555555555555,13454.0,28723.0,34229.0,329.0,622.0,692.0,21.77857142857143,16.092307692307692,8.803703703703704,40288,73,41.3,1585.0,99913.0,1223.0,4187,98534,808,16519,3,2264,529,1300,81298,53190,49531,2839,1624,1329,815,4608,3784,3103,3409,4470,12784,45623,6669,6467,9328,17309,7138,18875,102721
132.0,554.0,87.47368421052632,2032.0,4964.0,5887.0,58.0,93.0,100.0,22.289285714285715,18.23076923076923,9.333333333333334,5998,34,43.9,37.0,16242.0,127.0,89,16317,108,2003,4,406,0,1,13884,8344,8062,376,151,147,112,597,522,591,541,1053,2715,6981,1513,1814,935,3314,1163,2733,16406
49.0,1006.0,85.48148148148148,4023.0,9832.0,12033.0,81.0,137.0,154.0,22.28214285714285,17.584615384615383,9.27037037037037,12670,88,39.2,2187.0,28700.0,700.0,5584,26003,273,1241,6,549,326,3175,26017,15956,15631,569,209,434,146,1416,917,779,1005,1542,4000,13681,3232,3677,2503,5902,3202,4243,31587
145.0,580.0,83.16666666666667,2411.0,6202.0,7969.0,71.0,159.0,172.0,21.789285715,18.63076923076923,7.9111111111111105,9932,3,43.6,188.0,25949.0,246.0,1075,25308,42,2678,10,397,312,266,22678,13592,12791,726,429,281,150,1031,1138,771,829,1267,3950,11126,2085,2664,1962,4606,2178,4577,26383
92.0,230.0,95.1818181818182,890.0,1859.0,2309.0,32.0,48.0,54.0,22.110714285714288,32.40769230769231,10.68888888888889,2164,0,44.6,14.0,8156.0,51.0,221,8000,0,6489,0,225,38,39,1430,4322,3899,118,10,55,34,341,250,233,128,226,1783,2749,992,1258,390,1824,448,1272,8221
28.0,384.0,91.73333333333332,2130.0,4672.0,5728.0,71.0,102.0,110.0,21.785714285,20.753846153846155,10.022222222222224,5037,75,40.8,9.0,14716.0,29.0,10,14744,28,8726,0,317,0,15,5668,7748,7006,382,202,136,50,367,395,298,460,488,2712,5802,1742,1806,1190,2529,1190,2264,14754
0.0,0.0,81.25,1838.0,4447.0,5866.0,41.0,71.0,79.0,21.7821428575,15.423076923076923,5.688461538461539,6411,0,44.7,48.0,16968.0,107.0,453,16670,73,4553,36,288,34,145,11994,8862,8261,414,409,243,187,583,504,537,710,872,2097,7362,1199,1300,1478,2828,1283,2766,17123
546.0,30844.0,76.65753424657534,10165.0,24959.0,32660.0,265.0,486.0,531.0,21.785714285714285,17.661538461538463,8.074074074074074,41965,42,40.2,1262.0,102788.0,1269.0,3551,101768,996,28677,16,2801,290,682,71857,54845,50474,3022,1855,1791,1640,4204,3629,2948,3738,4616,12341,47455,7598,7833,12273,16587,6511,18823,105319
95.0,2041.0,84.68181818181819,6558.0,14988.0,18379.0,105.0,231.0,256.0,22.217857142857145,18.26153846153846,9.077777777777778,18336,12,43.0,456.0,50991.0,318.0,1541,50224,220,1908,35,1387,559,445,47211,26442,25323,1764,617,415,398,2103,1975,1363,2473,1901,7358,20833,3142,4312,4779,10023,3938,8006,51765
3664.0,132802.0,67.20987654320987,72293.0,183735.0,238727.0,1409.0,2253.0,2535.0,21.57499999967857,15.169230769230769,5.026923076923077,271448,717,37.9,16783.0,633274.0,8558.0,25757,632858,10417,282538,187,14715,1157,10957,338644,347168,311447,21299,14190,14336,17520,25384,21745,20282,25476,30018,73551,322796,45449,36971,123755,84752,28943,108302,658615
0.0,0.0,85.33333333333333,1349.0,3693.0,4737.0,33.0,62.0,73.0,22.63928571375,17.546153846153846,9.492592592592594,4960,0,44.3,83.0,13736.0,35.0,240,13614,21,1525,0,134,12,50,12112,7012,6842,600,177,112,54,618,634,476,406,475,2079,5555,1095,1723,883,2695,844,2401,13854
223.0,11701.0,70.01428571428572,8651.0,23984.0,30406.0,215.0,375.0,420.0,21.7821428575,14.707692307692309,9.070370370370371,38183,75,41.3,1378.0,90897.0,595.0,2562,90308,581,9514,64,2271,338,287,79815,48272,44598,2397,2253,1365,1144,4195,3541,2601,4040,5042,11935,43340,4203,7212,11542,15425,4616,13953,92870
43.0,367.0,80.2258064516129,2865.0,7610.0,9389.0,92.0,153.0,181.0,21.78928571392857,14.315384615384614,6.053846153846154,12457,0,42.6,214.0,32705.0,50.0,745,32224,40,3520,22,1459,1967,163,25798,17165,15804,1001,501,478,346,1261,1298,938,1634,1150,3944,13530,2164,3582,2833,6750,2938,4943,32969
320.0,15434.0,63.886178861788615,15108.0,37563.0,47646.0,161.0,324.0,372.0,21.79285714292857,13.069230769230767,4.619230769230769,68155,164,32.4,5939.0,154423.0,3099.0,6093,157368,7131,37121,7,3726,348,1234,113894,82983,80478,5448,3205,3363,2971,5089,4419,3691,6004,6870,19671,79736,6624,6886,30002,16940,6175,26488,163461
66.0,3689.0,61.11764705882353,9454.0,24757.0,32150.0,142.0,278.0,320.0,21.717857143214285,8.23076923076923,4.707692307692308,39960,40,40.0,1642.0,93715.0,1564.0,5840,91081,1412,13128,43,2927,897,2045,76469,48595,48326,3114,2049,2114,1644,2581,3007,2448,2948,5259,7561,44614,5062,3921,13607,15513,7051,16970,96921
0.0,0.0,92.8181818181818,1338.0,2603.0,3370.0,51.0,75.0,80.0,21.72142857178571,27.03846153846154,11.781481481481482,3360,0,42.5,55.0,9869.0,12.0,40,9896,0,7440,0,20,12,0,2464,5201,4735,175,202,76,76,403,418,261,339,296,1967,3997,1154,1582,743,2169,722,1376,9936
0.0,0.0,92.5,1486.0,3841.0,5293.0,45.0,78.0,90.0,22.246428571785717,27.77692307692308,9.437037037037037,6262,0,38.7,43.0,18335.0,59.0,80,18357,36,15162,0,212,15,12,3000,10041,8396,264,312,211,191,868,670,459,654,656,3307,8039,1522,1967,1416,2724,1232,2888,18437
1113.0,59102.0,58.88284518828452,32786.0,88666.0,116086.0,475.0,910.0,1060.0,21.72142857135714,9.107692307692307,4.411538461538462,164479,340,38.5,9616.0,347998.0,10072.0,18412,349274,9676,90449,306,12068,2074,5723,247390,188110,179576,14688,10116,13969,12146,12050,11933,10277,13508,18233,34708,191816,16988,13424,89384,36599,14740,56666,367686
67.0,1361.0,87.12,2457.0,5155.0,6093.0,58.0,104.0,116.0,22.717857142857145,24.138461538461534,9.6,6323,5,41.8,84.0,18929.0,125.0,495,18643,9,9907,0,240,24,43,8915,10145,8993,560,188,272,196,560,433,467,533,728,3562,7594,1596,2212,1806,3310,1254,2876,19138
153.0,1236.0,89.0,2933.0,8045.0,10113.0,97.0,148.0,160.0,22.499999999892857,17.584615384615383,9.72222222222222,11008,30,44.5,265.0,29409.0,144.0,766,29052,18,1128,0,537,136,481,27518,15058,14760,540,372,179,320,1076,1295,950,1166,1194,4688,12632,1488,3032,2151,5230,2287,5304,29818
