fips,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pct_pop_commutes_by_car_truck_van_any,pct_pop_commutes_by_public_transport_any,pct_pop_commutes_by_bicycle,pct_pop_citizenship_non_us,pct_pop_citizenship_us_native,pct_pop_citizenship_us_naturalized,pct_pop_ethnicity_hispanic_latino,pct_pop_race_asian,pct_pop_race_black,pct_pop_race_hawaiian_pacific_islander,pct_pop_race_multiple,pct_pop_race_native_american,pct_pop_race_white,pct_pop_sex_female,pct_pop_sex_male,pct_households_with_annual_income_100000_to_124999,pct_households_with_annual_income_125000_to_149999,pct_households_with_annual_income_150000_to_199999,pct_households_with_annual_income_200000_or_more,pct_households_with_annual_income_30000_to_39999,pct_households_with_annual_income_40000_to_49999,pct_households_with_annual_income_50000_to_59999,pct_households_with_annual_income_60000_to_75499,pct_households_with_annual_income_75000_to_99999,pct_households_with_annual_income_less_than_30000,pct_pop_employment_status_in_labor_force,pct_pop_received_ssi_foodstamps_snap_past_year,pct_pop_works_industry_agriculture_forestry_fishing_hunting_mining,pct_pop_works_industry_armed_forces,pct_pop_works_industry_arts_entertainment_food_services,pct_pop_works_industry_construction,pct_pop_works_industry_educational_healthcare_social_assistance,pct_pop_works_industry_finance_insurance_real_estate,pct_pop_works_industry_information,pct_pop_works_industry_manufacturing,pct_pop_works_industry_other_services,pct_pop_works_industry_professional_scientific_management,pct_pop_works_industry_public_administration,pct_pop_works_industry_retail_trade,pct_pop_works_industry_transportation_warehousing_utilities,pct_pop_works_industry_wholesale_trade,pct_households_with_no_internet_access,pct_pop_veterans,pct_pop_adult_education_bachelors_or_higher,pct_pop_adult_education_high_school,pct_pop_adult_education_less_than_high_school,pct_pop_adult_education_some_college_or_associates,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,pop_commutes_by_bicycle,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force_civilian_unemployed,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,pop_works_industry_agriculture_forestry_fishing_hunting_mining,pop_works_industry_armed_forces,pop_works_industry_arts_entertainment_food_services,pop_works_industry_construction,pop_works_industry_educational_healthcare_social_assistance,pop_works_industry_finance_insurance_real_estate,pop_works_industry_information,pop_works_industry_manufacturing,pop_works_industry_other_services,pop_works_industry_professional_scientific_management,pop_works_industry_public_administration,pop_works_industry_retail_trade,pop_works_industry_transportation_warehousing_utilities,pop_works_industry_wholesale_trade,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_veterans,pop_total
47165,296.0,13426.0,62846.0,2509384.0,45.333333333333336,21637.0,52955.0,53214.0,323.0,688.0,727.0,21.571428571035717,6.907692307692307,4.5,44.96217,0.108696,0.001066,2.277813,1.669331,2.035379,5.127344,1.483376,7.882566,0.08312,3.517157,0.217924,85.388427,51.190324,48.809676,11.225857,7.441664,6.28951,6.433711,7.765025,8.692866,7.34116,11.533195,15.294083,17.982929,52.350277,4.71494,0.297315,0.075661,4.485294,3.448956,10.872762,2.946505,0.752877,5.768862,2.453112,5.425192,2.311381,6.09708,3.014706,1.691176,10.579136,6.223359,15.995311,14.861466,4.541773,17.502664,84385,204,2,39.6,4275.0,179585.0,3820.0,9623,2784,14794,156,6601,409,160257,96074,91606,7707,5109,4318,4417,5331,5968,5040,7918,10500,12346,3339,98251,8849,558,142,8418,6473,20406,5530,1413,10827,4604,10182,4338,11443,5658,3174,7263,30020,27892,8524,32849,11680,187680
47167,48.0,1256.0,3691.0,718694.0,67.27777777777777,6991.0,17564.0,17622.0,104.0,221.0,234.0,21.575000000357143,11.084615384615384,5.949999999999999,42.084403,0.073097,0.0,0.571781,1.721841,0.908028,2.815048,0.700107,18.542283,0.0,2.605503,0.245281,76.974432,50.656249,49.343751,9.674436,6.848872,5.332038,3.741213,9.193489,9.776175,6.608398,12.624861,14.372919,21.827599,47.430233,6.555992,0.552289,0.410968,2.233521,4.182775,9.700789,2.072707,0.263149,5.993957,2.311491,3.258504,3.874143,5.201261,2.811799,1.395341,15.649279,8.815503,9.51561,18.792437,5.342581,19.078328,25908,45,0,38.0,352.0,60651.0,559.0,1733,431,11415,0,1604,151,47387,31185,30377,2092,1481,1153,809,1988,2114,1429,2730,3108,4720,1525,29199,4036,340,253,1375,2575,5972,1276,162,3690,1423,2006,2385,3202,1731,859,3384,5858,11569,3289,11745,5427,61562
47169,0.0,0.0,0.0,0.0,64.0,2409.0,4206.0,4228.0,22.0,45.0,45.0,23.93793103417241,12.653846153846152,8.455555555555556,39.44088,0.0,0.0,0.586618,0.861595,0.274977,0.989918,0.284143,10.348304,0.0,5.444546,0.60495,82.905591,38.88176,61.11824,10.153031,1.971748,3.060624,1.383167,4.120071,14.891112,9.829311,13.39023,16.362566,24.83814,45.618698,6.461961,0.302475,0.0,4.903758,3.684693,5.307058,1.759853,0.274977,4.31714,3.611366,4.463795,2.960587,4.436297,4.042163,1.787351,24.690995,7.213566,7.213566,26.113657,7.094409,17.662695,4303,0,0,33.9,64.0,10816.0,30.0,108,31,1129,0,594,66,9045,4242,6668,345,67,104,47,140,506,334,455,556,844,230,4977,705,33,0,535,402,579,192,30,471,394,487,323,484,441,195,839,787,2849,774,1927,787,10910
47171,10.0,372.0,1274.0,63715.0,75.5,1818.0,5138.0,5176.0,47.0,90.0,96.0,21.78571428535714,13.946153846153846,9.285185185185185,36.529937,0.0,0.08417,2.671006,0.650917,1.183996,5.308344,0.420852,0.269345,0.0,1.756355,0.291791,95.690477,49.610011,50.389989,6.221528,1.587921,2.08252,1.418717,7.965638,12.599245,6.208512,10.464662,13.770662,37.680593,45.519331,4.444195,0.426463,0.067336,2.345547,4.023343,9.084788,1.03249,0.162729,7.766119,1.834914,2.671006,2.917906,4.87627,3.22653,0.802424,24.365482,8.506818,8.125245,20.279446,5.476685,18.163964,6510,0,15,47.4,476.0,17134.0,211.0,946,75,48,0,313,52,17053,8841,8980,478,122,160,109,612,968,477,804,1058,2895,494,8112,792,76,12,418,717,1619,184,29,1384,327,476,520,869,575,143,1872,1448,3614,976,3237,1516,17821
47173,0.0,0.0,0.0,0.0,75.21428571428571,1755.0,5382.0,5399.0,34.0,70.0,75.0,23.68620689662069,14.923076923076923,8.622222222222222,35.638784,0.015245,0.010164,0.2795,0.909645,0.269336,1.753227,0.147373,0.462445,0.096555,2.26649,0.0,97.00681,50.9503,49.0497,4.810398,3.242664,3.483854,1.983117,12.716066,8.857028,9.125017,12.099692,12.354281,31.327884,42.555138,9.421689,0.6708,0.0,2.383372,5.778026,8.125826,1.763391,0.437036,5.442626,1.702409,3.852017,1.021445,4.121354,2.972863,0.909645,24.29318,6.40309,4.934445,24.204696,10.163635,13.45157,7013,3,2,42.5,55.0,19570.0,53.0,345,29,91,19,446,0,19089,10026,9652,359,242,260,148,949,661,681,903,922,2338,559,8374,1854,132,0,469,1137,1599,347,86,1071,335,758,201,811,585,179,1813,971,4763,2000,2647,1260,19678
47175,0.0,0.0,0.0,0.0,86.0,800.0,1845.0,1848.0,20.0,46.0,48.0,24.4333333335,19.16923076923077,20.68387096774193,37.054877,0.0,0.0,0.928952,0.103217,0.395665,1.34182,0.0,0.172028,0.0,2.890074,0.0,96.387407,50.404266,49.595734,6.155219,2.765388,2.988403,1.02587,12.221231,7.850134,8.340767,10.704728,15.165031,32.783229,43.574746,6.15861,1.186995,0.0,3.440564,2.150353,7.534836,1.840702,0.258042,10.201273,0.688113,2.494409,4.782384,3.35455,1.754688,0.739721,24.71008,7.242388,3.47497,24.892482,8.480991,13.951488,2154,0,0,46.5,54.0,5736.0,23.0,78,0,10,0,168,0,5603,2930,2883,138,62,67,23,274,176,187,240,340,735,127,2533,358,69,0,200,125,438,107,15,593,40,145,278,195,102,43,554,202,1447,493,811,421,5813
47177,81.0,2140.0,7784.0,328048.0,81.70370370370371,5336.0,12970.0,12998.0,78.0,167.0,176.0,22.07142857107143,15.207692307692309,9.244444444444444,40.936272,0.16353,0.0,4.283518,1.645066,1.26675,9.20163,0.754192,2.631129,0.309975,3.385321,0.239194,89.580435,50.054917,49.945083,6.348695,2.752175,2.31389,2.700612,11.0796,12.052852,9.977441,9.726072,9.165324,33.883339,45.246638,7.161163,2.038027,0.104952,3.436577,3.116839,8.22533,2.028264,0.822533,9.767885,1.806156,2.660418,1.610896,3.973542,1.940397,1.354617,21.108605,5.843157,7.593176,22.484196,8.022748,13.065339,16772,67,0,40.1,1755.0,38697.0,519.0,3770,309,1078,127,1387,98,36702,20508,20463,985,427,359,419,1719,1870,1548,1509,1422,5257,705,18538,2934,835,43,1408,1277,3370,831,337,4002,740,1090,660,1628,795,555,3275,3111,9212,3287,5353,2394,40971
47179,617.0,29490.0,164879.0,3468186.0,67.62222222222222,12873.0,38342.0,38629.0,234.0,471.0,493.0,21.789285714250003,12.192307692307692,8.274074074074074,41.803622,0.09389,0.0,2.553657,1.090212,1.425423,3.605848,1.729596,4.034173,0.015519,2.814377,0.28943,90.288964,51.267905,48.732095,7.510576,4.210391,4.507078,4.069373,10.655092,9.001337,8.41712,9.536106,10.882186,31.210739,49.393982,4.75348,0.35849,0.071388,4.568804,2.298369,13.198163,2.067911,1.084005,5.731179,2.212238,4.470258,1.38585,5.705573,1.613204,0.921055,12.854605,8.213449,17.902758,14.380713,4.194019,14.352003,53874,121,0,40.1,3291.0,123746.0,1837.0,4647,2229,5199,20,3627,373,116359,66071,62803,4101,2299,2461,2222,5818,4915,4596,5207,5942,17042,3053,63656,6126,462,92,5888,2962,17009,2665,1397,7386,2851,5761,1786,7353,2079,1187,7019,23072,18533,5405,18496,10585,128874
47181,25.0,364.0,1299.0,49386.0,83.91666666666667,2887.0,5672.0,5695.0,30.0,60.0,70.0,22.43214285707143,16.507692307692306,10.562962962962963,34.601515,0.108186,0.0,0.306527,0.204351,0.817406,2.163722,0.378651,5.950234,0.144248,1.983411,0.096165,90.894338,45.065513,54.934487,4.601708,5.420952,3.137528,0.941258,9.430016,11.173087,5.508105,13.073035,10.528151,36.18616,39.49994,5.655728,2.025484,0.162279,1.622791,3.828585,9.880995,1.59274,0.510879,4.790239,1.833153,1.755019,2.211804,3.498017,2.109629,0.516889,23.095695,7.789398,6.22671,25.27347,8.336338,16.390191,5757,18,0,44.0,51.0,16451.0,136.0,360,63,990,24,330,16,15123,7498,9140,264,311,180,54,541,641,316,750,604,2076,394,6572,941,337,27,270,637,1644,265,85,797,305,292,368,582,351,86,1325,1036,4205,1387,2727,1296,16638
47183,38.0,1054.0,4055.0,84605.0,84.92,3807.0,9474.0,9525.0,60.0,138.0,151.0,22.535714285714285,16.23076923076923,9.414814814814816,37.606735,0.020973,0.023969,0.853881,1.078587,0.766995,2.744405,0.272643,8.54181,0.06891,1.67181,0.329568,88.258381,50.882344,49.117656,5.212711,2.742756,1.799012,1.533584,12.865885,8.825481,8.596918,12.150704,10.639239,35.633709,45.022021,7.208557,1.527998,0.065914,4.155556,2.202115,12.077179,0.922791,0.281631,6.77113,1.941457,2.085268,2.001378,5.102316,2.163166,1.03065,24.434122,6.186895,10.075801,20.403272,4.110615,11.657728,12552,7,8,38.5,285.0,32836.0,256.0,916,91,2851,23,558,110,29458,16983,16394,707,372,244,208,1745,1197,1166,1648,1443,4833,702,15027,2406,510,22,1387,735,4031,308,94,2260,648,696,668,1703,722,344,3314,3363,6810,1372,3891,2065,33377
47185,26.0,391.0,1173.0,125175.0,79.23529411764706,3403.0,8216.0,8229.0,67.0,126.0,129.0,22.567857142857143,16.653846153846153,9.38148148148148,37.829955,0.0,0.0,0.435633,0.568538,0.553771,2.624875,0.232584,1.871747,0.077528,2.551039,0.132905,94.920072,51.969579,48.03042,3.561992,2.847637,3.023779,2.04521,13.83697,10.58812,9.276837,10.617477,12.574616,31.627361,42.389338,5.929043,0.841732,0.029534,4.721822,2.296304,6.600952,1.557943,0.232584,8.797578,1.218297,2.602725,1.786835,4.780891,3.134345,0.985713,20.393385,6.785543,6.940599,20.773803,8.45424,14.523572,10247,0,0,43.3,118.0,26819.0,150.0,711,63,507,21,691,36,25711,14077,13010,364,291,309,209,1414,1082,948,1085,1285,3232,560,11482,1606,228,8,1279,622,1788,422,63,2383,330,705,484,1295,849,267,2084,1880,5627,2290,3934,1838,27087
47187,203.0,9397.0,40733.0,867306.0,17.473214285714285,25604.0,61684.0,62187.0,204.0,386.0,404.0,21.57142857160714,2.984615384615384,3.5961538461538463,41.653326,0.123935,0.0,4.258112,1.342628,3.339788,4.863586,4.676392,4.091144,0.021086,2.993373,0.386006,87.066443,50.982873,49.017127,11.782925,10.103528,13.216767,21.183105,4.970324,4.549549,5.544107,7.8886,11.349811,9.411286,52.063431,1.288837,0.31328,0.030553,4.846803,2.596609,12.399088,5.07832,1.151562,3.799811,2.584129,7.58456,1.283673,5.510371,1.456666,1.358551,4.17443,4.357088,33.225751,6.059472,2.237284,10.642912,96794,288,0,39.3,9895.0,214724.0,7761.0,11302,10867,9507,49,6956,897,202325,118474,113906,9549,8188,10711,17167,4028,3687,4493,6393,9198,7627,2977,120985,2995,728,71,11263,6034,28813,11801,2676,8830,6005,17625,2983,12805,3385,3157,3383,77210,14081,5199,24732,10125,232380
